,stock,prediction,content
1610,pg,positive,3
1611,ph,neutral,7
1612,ph,positive,4
1613,phio,positive,1
1614,phun,neutral,5
1615,pie,neutral,1
1616,pie,positive,2
1617,pin,negative,1
1618,pin,positive,5
1619,pine,positive,1
1620,ping,negative,1
1621,ping,neutral,8
1622,ping,positive,19
1623,pins,negative,5
1624,pins,neutral,27
1625,pins,positive,31
1626,pixy,negative,2
1627,pixy,neutral,5
1628,plab,positive,1
1629,plag,neutral,1
1630,plc,neutral,1
1631,plin,negative,1
1632,plin,neutral,2
1633,pll,neutral,2
1634,pll,positive,2
1635,plm,neutral,1
1636,plnt,positive,3
1637,plow,positive,1
1638,pltr,negative,17
1639,pltr,neutral,101
1640,pltr,positive,32
1641,plug,negative,11
1642,plug,neutral,39
1643,plug,positive,23
1644,plx,neutral,1
1645,podd,neutral,1
1646,pola,neutral,2
1647,pola,positive,1
1648,pool,neutral,2
1649,pool,positive,3
1650,por,neutral,2
1651,poww,positive,1
1652,ppsi,neutral,3
1653,pro,negative,8
1654,pro,neutral,20
1655,pro,positive,27
1656,prof,positive,2
1657,prog,neutral,5
1658,prog,positive,1
1659,pros,neutral,1
1660,pros,positive,5
1661,prpl,negative,1
1662,prpl,positive,3
1663,prqr,neutral,1
1664,prts,neutral,5
1665,prts,positive,1
1666,prty,neutral,5
1667,prty,positive,1
1668,ps,neutral,1
1669,ps,positive,3
1670,pshg,negative,1
1671,psnl,neutral,1
1672,pst,neutral,3
1673,pst,positive,2
1674,psth,negative,1
1675,psth,neutral,12
1676,psth,positive,2
1677,pstv,neutral,4
1678,pt,negative,9
1679,pt,neutral,55
1680,pt,positive,38
1681,pton,negative,6
1682,pton,neutral,47
1683,pton,positive,40
1684,pvg,neutral,1
1685,pvl,neutral,1
1686,py,neutral,1
1687,pypl,negative,3
1688,pypl,neutral,15
1689,pypl,positive,7
1690,qcln,positive,2
1691,qcom,negative,2
1692,qcom,neutral,9
1693,qcom,positive,12
1694,qed,positive,1
1695,qep,neutral,2
1696,qk,positive,1
1697,qlgn,neutral,1
1698,qlgn,positive,5
1699,qqq,negative,2
1700,qqq,neutral,36
1701,qqq,positive,10
1702,qqqj,positive,1
1703,qs,negative,2
1704,qs,neutral,2
1705,qs,positive,4
1706,qtwo,neutral,2
1707,quad,negative,1
1708,quad,neutral,2
1709,r,negative,5
1710,r,neutral,12
1711,r,positive,5
1712,ra,neutral,1
1713,rad,negative,2
1714,rad,neutral,1
1715,ramp,neutral,3
1716,ramp,positive,6
1717,rare,negative,1
1718,rare,neutral,2
1719,rare,positive,6
1720,rba,positive,2
1721,rcl,neutral,3
1722,rcl,positive,1
1723,rdfn,neutral,2
1724,rdfn,positive,2
1725,rdhl,positive,1
1726,rdib,positive,1
1727,rdn,positive,1
1728,rec,neutral,2
1729,reed,positive,1
1730,regn,negative,6
1731,regn,neutral,13
1732,regn,positive,4
1733,rei,neutral,2
1734,reml,negative,1
1735,res,negative,1
1736,res,neutral,2
1737,res,positive,3
1738,rev,neutral,2
1739,rev,positive,4
1740,rgld,neutral,1
1741,rgr,neutral,1
1742,rick,neutral,2
1743,rick,positive,1
1744,rig,negative,1
1745,rig,positive,1
1746,ring,negative,1
1747,ring,neutral,1
1748,riot,negative,17
1749,riot,neutral,2
1750,riot,positive,1
1751,rkt,negative,1
1752,rkt,neutral,36
1753,rkt,positive,21
1754,rl,neutral,1
1755,rly,negative,1
1756,rly,positive,1
1757,rm,positive,2
1758,rmed,neutral,3
1759,rmg,negative,1
1760,rmg,neutral,4
1761,rmti,neutral,2
1762,road,neutral,5
1763,road,positive,7
1764,roic,neutral,2
1765,roku,negative,10
1766,roku,neutral,50
1767,roku,positive,90
1768,root,neutral,1
1769,root,positive,1
1770,rprx,positive,2
1771,rrd,neutral,1
1772,rrgb,positive,1
1773,rs,negative,3
1774,rs,neutral,1
1775,rs,positive,2
1776,rsvau,neutral,1
1777,rtx,neutral,4
1778,ruby,neutral,1
1779,ruth,positive,1
1780,rvlv,negative,1
1781,rxt,negative,1
1782,rxt,neutral,6
1783,rxt,positive,2
1784,rye,neutral,1
1785,sa,neutral,1
1786,sabr,neutral,1
1787,sabr,positive,1
1788,sage,positive,3
1789,salm,neutral,1
1790,salt,negative,1
1791,salt,neutral,1
1792,salt,positive,3
1793,sam,negative,3
1794,sam,neutral,7
1795,sam,positive,4
1796,san,neutral,4
1797,sap,neutral,1
1798,sava,neutral,2
1799,sbac,positive,1
1800,sbbp,neutral,3
1801,sbbp,positive,1
1802,sbe,negative,5
1803,sbe,neutral,9
1804,sbe,positive,17
1805,sbux,negative,13
1806,sbux,neutral,3
1807,sbux,positive,10
1808,sc,negative,2
1809,schd,neutral,3
1810,schd,positive,1
1811,sco,positive,2
1812,scor,neutral,2
1813,scwx,positive,3
1814,sd,negative,3
1815,sd,neutral,4
1816,sdc,neutral,1
1817,se,negative,4
1818,se,neutral,18
1819,se,positive,6
1820,seah,positive,1
1821,sedg,neutral,3
1822,sedg,positive,2
1823,seel,neutral,2
1824,selb,neutral,3
1825,sf,neutral,1
1826,sfet,neutral,2
1827,sfet,positive,1
1828,sfix,negative,3
1829,sfix,positive,4
1830,sft,neutral,1
1831,sft,positive,1
1832,sgbx,negative,3
1833,sgbx,neutral,1
1834,sh,positive,7
1835,shak,negative,6
1836,shak,neutral,3
1837,shak,positive,6
1838,shi,positive,1
1839,ship,negative,2
1840,ship,neutral,4
1841,ship,positive,3
1842,sho,negative,1
1843,sho,neutral,1
1844,sho,positive,2
1845,shop,negative,7
1846,shop,neutral,28
1847,shop,positive,36
1848,si,neutral,1
1849,sid,neutral,1
1850,sid,positive,1
1851,sim,positive,2
1852,sino,neutral,3
1853,sint,neutral,1
1854,siri,neutral,4
1855,siri,positive,2
1856,site,negative,2
1857,site,neutral,5
1858,site,positive,12
1859,six,negative,1
1860,six,neutral,2
1861,six,positive,6
1862,sjm,neutral,3
1863,sky,negative,1
1864,sky,neutral,5
1865,sky,positive,2
1866,skyy,negative,1
1867,skyy,positive,2
1868,slb,neutral,1
1869,sldb,neutral,1
1870,slgg,positive,1
1871,sls,neutral,1
1872,slv,negative,3
1873,slv,neutral,2
1874,slvo,neutral,1
1875,sm,neutral,1
1876,sm,positive,1
1877,smsi,positive,1
1878,snap,negative,7
1879,snap,neutral,33
1880,snap,positive,48
1881,snbr,positive,1
1882,snca,negative,1
1883,snde,neutral,1
1884,snde,positive,1
1885,sndl,negative,7
1886,sndl,neutral,24
1887,sndl,positive,13
1888,sne,neutral,1
1889,sne,positive,1
1890,snmp,negative,1
1891,snmp,neutral,2
1892,snmp,positive,1
1893,snow,negative,6
1894,snow,neutral,12
1895,snow,positive,12
1896,snp,neutral,2
1897,snpr,neutral,1
1898,snps,neutral,1
1899,snss,neutral,1
1900,soac,neutral,1
1901,soac,positive,1
1902,soho,positive,1
1903,sol,neutral,2
1904,solo,negative,3
1905,solo,neutral,19
1906,solo,positive,14
1907,sonm,positive,1
1908,sonn,negative,1
1909,sonn,neutral,2
1910,sonn,positive,1
1911,sp,negative,41
1912,sp,neutral,19
1913,sp,positive,38
1914,spak,negative,1
1915,spak,neutral,2
1916,spcb,neutral,2
1917,spcb,positive,1
1918,spce,negative,7
1919,spce,neutral,33
1920,spce,positive,12
1921,spg,neutral,4
1922,spg,positive,1
1923,spi,negative,2
1924,spi,neutral,19
1925,spi,positive,15
1926,spke,neutral,1
1927,splk,neutral,8
1928,splk,positive,1
1929,spot,negative,4
1930,spot,neutral,13
1931,spot,positive,29
1932,spt,negative,1
1933,spt,positive,1
1934,sptn,negative,1
1935,sptn,neutral,1
1936,sptn,positive,1
1937,spwr,negative,1
1938,spwr,neutral,3
1939,spwr,positive,2
1940,spxu,neutral,2
1941,spy,negative,106
1942,spy,neutral,300
1943,spy,positive,307
1944,spyc,positive,1
1945,sq,negative,9
1946,sq,neutral,50
1947,sq,positive,39
1948,sqbg,neutral,1
1949,sqqq,negative,5
1950,sqqq,neutral,24
1951,sqqq,positive,28
1952,sr,neutral,1
1953,sr,positive,9
1954,srac,neutral,6
1955,srac,positive,3
1956,sri,positive,1
1957,srne,neutral,17
1958,srne,positive,1
1959,srpt,neutral,3
1960,srrk,neutral,2
1961,srrk,positive,2
1962,st,positive,9
1963,staf,neutral,3
1964,staf,positive,3
1965,stag,neutral,1
1966,stc,positive,3
1967,stg,negative,3
1968,stg,neutral,4
1969,stg,positive,1
1970,stim,negative,8
1971,stim,neutral,5
1972,stim,positive,9
1973,stor,positive,3
1974,stpk,positive,2
1975,stro,positive,1
1976,stz,positive,1
1977,sub,neutral,3
1978,sub,positive,3
1979,sum,negative,3
1980,sum,neutral,3
1981,sum,positive,9
1982,suns,neutral,1
1983,sunw,neutral,10
1984,sunw,positive,12
1985,sup,negative,2
1986,sup,neutral,18
1987,sup,positive,4
1988,svm,neutral,1
1989,svxy,neutral,2
1990,swbi,neutral,2
1991,swbi,positive,2
1992,swk,neutral,3
1993,swks,neutral,1
1994,sypr,neutral,1
1995,syy,neutral,1
1996,tac,positive,1
1997,taco,negative,1
1998,taco,neutral,3
1999,tail,negative,1
2000,tail,positive,2
2001,tak,positive,1
2002,tan,neutral,1
2003,tan,positive,2
2004,tanh,neutral,2
2005,tap,negative,1
2006,tap,neutral,3
2007,tap,positive,6
2008,tat,neutral,1
2009,tat,positive,1
2010,tatt,neutral,1
2011,tatt,positive,1
2012,tbf,negative,1
2013,tbf,neutral,1
2014,tbf,positive,1
2015,tblt,positive,2
2016,tc,neutral,4
2017,tc,positive,2
2018,tcom,neutral,1
2019,tcon,neutral,4
2020,tcs,positive,1
2021,tda,negative,3
2022,tda,neutral,5
2023,tda,positive,6
2024,tdac,neutral,2
2025,tdg,positive,2
2026,tdoc,negative,1
2027,tdoc,neutral,7
2028,tdoc,positive,8
2029,tech,negative,49
2030,tech,neutral,51
2031,tech,positive,47
2032,tecl,positive,1
2033,tecs,neutral,1
2034,tel,negative,1
2035,teo,negative,1
2036,ter,neutral,1
2037,teva,neutral,13
2038,teva,positive,4
2039,tgc,neutral,1
2040,tgt,neutral,15
2041,tgt,positive,7
2042,th,positive,1
2043,thcb,neutral,2
2044,thcb,positive,3
2045,thr,neutral,1
2046,thr,positive,3
2047,tip,neutral,2
2048,tip,positive,3
2049,tlgt,neutral,5
2050,tlgt,positive,1
2051,tlry,negative,4
2052,tlry,neutral,15
2053,tlry,positive,14
2054,tls,positive,1
2055,tlsa,positive,1
2056,tmbr,negative,1
2057,tmbr,positive,1
2058,tmo,positive,4
2059,tmus,neutral,1
2060,tna,positive,1
2061,tnxp,negative,2
2062,tnxp,neutral,5
2063,tnxp,positive,1
2064,tok,negative,2
2065,tok,neutral,2
2066,tol,neutral,1
2067,tol,positive,18
2068,tops,positive,6
2069,tot,positive,1
2070,tour,neutral,1
2071,tour,positive,1
2072,town,neutral,4
2073,town,positive,5
2074,tpb,neutral,1
2075,tqqq,negative,3
2076,tqqq,positive,3
2077,tree,positive,2
2078,tril,neutral,1
2079,trip,neutral,1
2080,trip,positive,6
2081,trne,neutral,1
2082,trne,positive,2
2083,tru,positive,3
2084,trvn,negative,2
2085,trvn,neutral,1
2086,trvn,positive,2
2087,ts,negative,3
2088,tsla,negative,61
2089,tsla,neutral,278
2090,tsla,positive,242
2091,tsm,neutral,5
2092,tsm,positive,5
2093,tsn,neutral,1
2094,tt,positive,1
2095,ttcf,neutral,1
2096,ttcf,positive,1
2097,ttd,negative,2
2098,ttd,neutral,15
2099,ttd,positive,12
2100,ttm,negative,1
2101,ttm,neutral,2
2102,ttm,positive,2
2103,ttnp,neutral,2
2104,ttoo,neutral,3
2105,ttwo,neutral,1
2106,tup,negative,3
2107,tup,neutral,3
2108,tup,positive,2
2109,tv,negative,2
2110,tv,neutral,5
2111,tv,positive,1
2112,tw,negative,2
2113,twlo,neutral,9
2114,twlo,positive,11
2115,twnd,neutral,1
2116,twnd,positive,1
2117,twtr,negative,4
2118,twtr,neutral,10
2119,twtr,positive,3
2120,tx,positive,2
2121,tyg,positive,2
2122,tza,neutral,1
2123,ua,neutral,1
2124,uaa,neutral,1
2125,ual,neutral,7
2126,ual,positive,4
2127,uamy,neutral,1
2128,uavs,neutral,6
2129,uavs,positive,3
2130,uber,negative,1
2131,uber,neutral,2
2132,uber,positive,8
2133,ubs,positive,1
2134,ubt,positive,1
2135,uco,negative,1
2136,uco,neutral,2
2137,uco,positive,4
2138,uge,neutral,1
2139,ui,negative,1
2140,ui,positive,7
2141,uihc,neutral,1
2142,uk,negative,2
2143,uk,neutral,5
2144,uk,positive,11
2145,ulta,negative,1
2146,ulta,neutral,5
2147,ulta,positive,11
2148,umc,neutral,1
2149,unfi,positive,1
2150,unh,neutral,1
2151,unit,positive,3
2152,unvr,positive,1
2153,uone,negative,5
2154,uone,neutral,8
2155,uone,positive,1
2156,uonek,negative,1
2157,uonek,neutral,9
2158,uonek,positive,2
2159,upld,positive,1
2160,upro,neutral,1
2161,upro,positive,3
2162,ups,negative,6
2163,ups,neutral,11
2164,ups,positive,26
2165,upwk,neutral,1
2166,urbn,positive,3
2167,uri,negative,1
2168,uri,neutral,2
2169,uri,positive,12
2170,urov,negative,3
2171,urov,neutral,3
2172,usa,negative,3
2173,usa,neutral,4
2174,usa,positive,4
2175,usac,negative,1
2176,usac,neutral,1
2177,usd,negative,6
2178,usd,neutral,10
2179,usd,positive,22
2180,useg,neutral,3
2181,usmv,positive,1
2182,uso,negative,1
2183,uso,neutral,1
2184,uso,positive,5
2185,usws,neutral,1
2186,utsi,neutral,1
2187,uup,neutral,1
2188,uup,positive,1
2189,uve,neutral,3
2190,uvxy,negative,9
2191,uvxy,neutral,16
2192,uvxy,positive,10
2193,uxin,neutral,4
2194,v,neutral,18
2195,v,positive,26
2196,vac,neutral,1
2197,vale,negative,1
2198,vale,neutral,1
2199,vale,positive,4
2200,vbiv,neutral,2
2201,vc,negative,4
2202,vc,neutral,8
2203,vc,positive,4
2204,vcnx,neutral,1
2205,vcnx,positive,3
2206,vea,positive,1
2207,vega,neutral,2
2208,vega,positive,1
2209,ver,positive,1
2210,verb,neutral,2
2211,vet,positive,2
2212,vff,neutral,1
2213,vff,positive,1
2214,vgac,neutral,3
2215,vgac,positive,1
2216,vhc,neutral,1
2217,viav,negative,3
2218,vice,negative,2
2219,vice,neutral,5
2220,vice,positive,1
2221,vir,neutral,2
2222,visl,neutral,4
2223,visl,positive,1
2224,vive,neutral,1
2225,vive,positive,1
2226,vixy,positive,1
2227,vktx,positive,1
2228,vldr,negative,4
2229,vldr,neutral,2
2230,vldr,positive,1
2231,vmar,neutral,3
2232,vmw,neutral,1
2233,vod,neutral,1
2234,voo,neutral,4
2235,voo,positive,5
2236,voxx,neutral,1
2237,vpn,negative,1
2238,vpn,neutral,1
2239,vpn,positive,1
2240,vrm,negative,1
2241,vrm,positive,1
2242,vrs,negative,1
2243,vrs,neutral,1
2244,vrs,positive,1
2245,vrtx,positive,3
2246,vstm,neutral,3
2247,vstm,positive,1
2248,vt,neutral,2
2249,vtv,positive,1
2250,vvpr,negative,1
2251,vvpr,neutral,5
2252,vvpr,positive,7
2253,vwo,positive,1
2254,vxrt,negative,1
2255,vxrt,neutral,4
2256,vxus,neutral,2
2257,vxus,positive,1
2258,vxx,negative,5
2259,vxx,neutral,29
2260,vxx,positive,35
2261,vygg,positive,1
2262,vyne,positive,1
2263,vz,neutral,1
2264,vz,positive,3
2265,wafu,neutral,2
2266,wash,negative,2
2267,wat,negative,1
2268,wat,neutral,4
2269,wat,positive,2
2270,watt,neutral,3
2271,wb,negative,1
2272,wb,neutral,2
2273,wb,positive,3
2274,wba,neutral,1
2275,wba,positive,5
2276,wdc,neutral,1
2277,webs,neutral,1
2278,wei,negative,1
2279,wei,neutral,3
2280,wei,positive,1
2281,wen,neutral,1
2282,wes,positive,1
2283,wfc,negative,3
2284,wfc,neutral,4
2285,wfc,positive,3
2286,wfh,neutral,1
2287,wh,neutral,1
2288,wifi,negative,3
2289,wifi,neutral,2
2290,wil,neutral,1
2291,wing,positive,1
2292,wire,negative,1
2293,wire,neutral,1
2294,wit,neutral,1
2295,wix,positive,3
2296,wkey,negative,1
2297,wkey,neutral,1
2298,wkhs,negative,5
2299,wkhs,neutral,37
2300,wkhs,positive,36
2301,wll,neutral,1
2302,wmt,neutral,15
2303,wmt,positive,15
2304,wood,neutral,2
2305,wood,positive,1
2306,worx,negative,1
2307,wpg,positive,2
2308,wrap,neutral,7
2309,wti,neutral,4
2310,wti,positive,4
2311,wtrh,positive,2
2312,ww,negative,2
2313,ww,neutral,2
2314,ww,positive,1
2315,wwe,negative,2
2316,wwe,neutral,2
2317,wwe,positive,3
2318,wwr,negative,3
2319,wwr,neutral,29
2320,wwr,positive,9
2321,wynn,neutral,6
2322,wynn,positive,18
2323,wyy,neutral,3
2324,x,negative,1
2325,x,positive,4
2326,xbit,positive,1
2327,xela,neutral,1
2328,xers,negative,3
2329,xers,neutral,7
2330,xers,positive,7
2331,xle,negative,1
2332,xle,neutral,1
2333,xlf,neutral,5
2334,xlf,positive,5
2335,xlk,positive,3
2336,xlnx,neutral,9
2337,xlnx,positive,9
2338,xlu,neutral,1
2339,xlv,neutral,1
2340,xom,negative,1
2341,xom,neutral,10
2342,xom,positive,6
2343,xop,neutral,3
2344,xop,positive,9
2345,xpev,negative,6
2346,xpev,neutral,11
2347,xpev,positive,3
2348,xrt,positive,3
2349,xspa,negative,1
2350,xspa,neutral,10
2351,xt,neutral,1
2352,xt,positive,1
2353,xtnt,neutral,4
2354,xtnt,positive,2
2355,yang,neutral,1
2356,yang,positive,3
2357,ycbd,neutral,3
2358,yelp,neutral,2
2359,yelp,positive,2
2360,yeti,positive,2
2361,yj,neutral,3
2362,yten,neutral,1
2363,yvr,neutral,8
2364,yvr,positive,1
2365,yy,negative,1
2366,yy,positive,1
2367,z,negative,2
2368,z,neutral,4
2369,z,positive,9
2370,zbra,neutral,1
2371,zdge,neutral,2
2372,zdge,positive,1
2373,zeal,neutral,1
2374,zm,negative,13
2375,zm,neutral,56
2376,zm,positive,52
2377,znga,negative,3
2378,znga,neutral,12
2379,znga,positive,11
2380,znh,neutral,2
2381,znh,positive,4
2382,zom,negative,1
2383,zom,neutral,3
2384,zs,neutral,2
2385,zsan,negative,1
2386,zsan,neutral,2
2387,zuo,neutral,1
2388,zyne,neutral,1
